201,101,28,11,20,2,6,4,4,7,8,1,1,3,35
201,102,24,9,18,1,3,5,6,12,3,1,3,2,36
201,103,14,6,12,2,5,0,0,3,7,1,0,2,32
201,104,31,12,24,5,11,2,2,9,6,2,1,4,37
201,105,22,9,19,2,6,2,3,6,3,1,0,2,34
201,106,12,5,11,2,4,0,0,4,8,2,0,3,33
202,107,26,9,19,5,10,3,3,5,7,1,0,3,36
202,108,15,6,15,3,8,0,0,4,2,1,0,1,33
202,109,10,4,9,0,2,2,2,9,6,2,1,2,34
202,101,29,11,21,3,7,4,5,8,9,2,1,3,37
202,102,20,8,17,1,2,3,4,11,2,1,2,2,35
202,103,11,4,10,1,4,2,2,2,6,1,0,1,29
203,110,33,12,22,1,3,8,10,13,6,2,2,4,37
203,111,21,7,16,4,10,3,3,4,7,1,0,2,36
203,112,16,6,14,2,6,2,2,5,4,1,0,2,32
203,113,30,12,20,2,4,4,5,12,8,1,1,3,36
203,114,22,9,19,3,7,1,2,4,7,1,0,2,34
203,115,12,5,9,0,2,2,2,8,3,1,1,2,31
204,116,27,10,18,2,5,5,6,7,6,2,0,3,35
204,117,18,7,13,0,0,4,5,12,3,1,2,2,34
204,118,16,6,14,4,8,0,0,4,4,1,0,2,32
204,119,26,9,19,4,8,4,4,7,5,1,1,3,36
204,120,22,8,17,2,6,4,5,5,6,1,0,2,35
204,121,12,5,12,1,4,0,0,4,4,1,0,2,29
205,122,34,12,22,5,10,5,6,9,10,1,0,4,37
205,123,21,8,17,3,7,2,2,4,7,1,0,2,35
205,124,10,4,8,2,4,0,0,6,2,1,1,1,28
205,125,28,10,19,5,11,3,3,4,8,1,0,3,36
205,126,20,8,16,2,5,2,2,11,4,1,0,2,35
205,127,8,3,7,2,4,0,0,7,3,1,0,2,27
206,128,24,9,18,2,5,4,5,5,5,1,0,3,35
206,129,19,7,16,3,7,2,2,6,4,1,0,2,34
206,130,12,5,10,0,1,2,2,10,3,1,1,2,32
206,104,29,11,21,4,9,3,3,8,5,2,1,3,36
206,105,23,9,18,2,6,3,4,7,3,1,0,2,34
206,106,12,5,11,2,5,0,0,5,9,2,0,2,33
207,101,31,12,22,3,7,4,5,8,9,2,1,3,37
207,102,22,8,16,1,2,5,6,12,3,1,2,2,35
207,103,14,5,11,2,5,2,2,3,7,1,0,1,31
207,107,28,10,20,6,12,2,2,5,7,1,0,3,36
207,108,18,7,16,3,8,1,1,4,3,1,0,1,33
207,109,10,4,8,0,1,2,2,8,6,1,1,2,31
208,113,27,10,18,2,4,5,6,13,8,1,1,3,36
208,114,19,7,15,3,7,2,2,4,7,1,0,2,34
208,115,12,5,9,0,2,0,0,7,3,1,1,1,30
208,110,26,10,19,1,3,5,7,12,6,1,1,3,36
208,111,18,6,14,4,10,2,2,4,7,1,0,2,35
208,112,12,5,11,1,4,0,0,6,4,1,0,2,32
209,119,25,9,18,4,8,3,3,6,5,1,1,3,36
209,120,21,8,17,2,6,3,4,5,6,1,0,2,35
209,121,11,4,10,1,4,2,2,5,4,1,0,2,30
209,116,23,9,17,2,5,3,4,6,5,2,0,3,35
209,117,17,7,13,0,0,3,4,11,3,1,2,2,34
209,118,10,4,11,2,5,0,0,4,3,1,0,1,28
210,125,26,9,19,4,9,4,4,4,9,1,0,3,36
210,126,21,8,16,2,5,3,4,11,4,1,0,2,35
210,127,9,3,7,2,4,1,1,8,3,1,0,2,28
210,122,36,13,23,6,12,4,5,8,9,1,0,4,38
210,123,20,8,16,3,7,1,2,4,7,1,0,2,34
210,124,8,3,7,2,4,0,0,6,2,1,1,1,26
211,104,30,11,21,5,10,3,3,7,6,2,1,3,35
211,105,24,9,18,3,7,3,4,6,3,1,0,2,34
211,106,12,5,11,2,5,0,0,5,9,2,0,2,33
211,128,22,8,17,2,5,4,5,5,5,1,0,3,35
211,129,18,7,16,2,6,2,2,6,4,1,0,2,34
211,130,12,5,10,0,1,2,2,10,3,1,1,2,32
212,116,24,9,18,2,6,4,5,7,6,2,0,3,35
212,117,18,7,13,0,0,4,6,12,3,1,2,2,34
212,118,10,4,11,2,5,0,0,4,4,1,0,2,29
212,101,32,12,22,3,8,5,6,8,9,2,1,3,38
212,102,20,8,16,1,3,3,4,12,3,1,2,2,35
212,103,12,5,11,2,5,0,0,3,7,1,0,1,31
213,131,24,9,18,2,5,4,5,8,6,2,1,3,34
213,132,20,8,16,1,3,3,4,9,4,1,1,2,33
213,133,18,7,15,3,7,1,1,4,8,2,0,2,35
213,136,22,8,17,1,3,5,6,10,3,1,3,2,33
213,137,18,7,16,2,6,2,2,5,4,2,0,2,34
213,139,11,4,10,1,3,2,2,3,7,1,0,3,32
214,107,31,11,20,6,12,3,3,5,7,1,0,3,34
214,108,22,8,17,4,9,2,2,4,3,1,1,1,32
214,109,10,4,9,0,1,2,2,9,7,2,1,3,33
214,131,23,9,17,2,5,3,4,7,5,2,1,3,35
214,132,19,7,15,1,3,4,5,10,3,1,1,2,34
214,133,17,6,14,3,7,2,2,4,8,1,0,2,34
215,136,19,7,15,0,2,5,6,11,3,2,3,2,33
215,137,17,6,14,3,7,2,2,5,4,1,0,2,34
215,139,12,4,10,1,3,3,4,3,8,1,0,3,32
215,101,28,10,19,3,7,5,6,7,8,2,1,4,35
215,102,24,9,16,0,1,6,7,12,3,2,3,3,34
215,103,16,6,13,2,6,2,2,3,7,1,0,2,33
216,125,26,10,18,3,6,3,4,4,7,1,0,2,35
216,126,22,8,17,2,6,4,6,10,4,1,0,3,34
216,127,14,5,12,2,5,2,2,3,4,2,0,1,30
216,136,18,7,15,0,1,4,5,10,2,1,3,2,33
216,137,16,6,14,2,6,2,2,4,3,1,0,2,33
216,140,10,4,9,0,1,2,2,6,2,1,1,1,28
217,131,25,10,19,2,6,3,4,7,6,2,1,3,35
217,132,21,8,16,1,3,4,5,9,3,1,1,2,34
217,133,16,6,14,3,8,1,2,4,7,1,0,2,33
217,101,27,10,18,3,7,4,5,6,8,2,1,3,35
217,102,23,8,15,0,1,7,9,13,3,2,3,3,34
217,103,13,5,11,2,5,1,2,4,4,1,0,2,30
218,136,20,7,16,1,3,5,6,12,3,2,3,2,34
218,137,17,6,14,3,7,2,2,4,4,1,0,2,33
218,138,14,5,12,2,5,2,2,6,2,1,0,2,31
218,131,23,9,18,2,6,3,3,8,5,2,1,3,35
218,132,19,7,15,1,3,4,6,10,3,1,1,2,34
218,133,15,5,13,3,7,2,2,3,8,1,0,2,33
